brand,color,desc,retailPrice,title
brand,color,desc,retailPrice,title
QED London,mint,"Dress by QED London    Your no effort, effort-makerPlain designSpread collarButton-through fontChest pocketsTie waistSide splitsRegular fitTrue to size",29,QED London tie waist shirt dress in mint
Influence,black/white,"Dress by Influence    Add-to-bag material All-over spot print Square neck Ruffle strapsShirred, stretch bodiceRegular fit ",35,Influence midi dress in black and white spot
Influence,yellow,Tall dress by Influence    Gotta love a floral print V-neckAdjustable straps Cut-out bow front Elasticated waist Regular fit ,35,Influence Tall maxi dress in yellow floral print
Brave Soul,evening sand,T-shirt dress by Brave SoulTalk about a wardrobe staplePlain designCrew neckShort sleevesRegular fit,14,Brave Soul xena t-shirt dress in sand
ASOS Curve,blue stripe,Plus-size dress by ASOS DESIGN          The scroll is overStriped design     V-neck    Short sleeves    Button-through front Smock styleRegular fitTrue to size,22.5,ASOS DESIGN Curve button through smock midi dress in stripe
ASOS DESIGN,black,Mini dress by ASOS DESIGN    Part of our responsible editCowl neckFixed cami strapsPull-on styleBody-Conscious fit Figure-hugging cut ,10.85,ASOS DESIGN cami cowl neck mini dress in black
ASOS DESIGN,black,Dress by ASOS DESIGN    Crack the dress code    Plain designV-neckPuff sleeves    Elasticated cuffs     Wrap frontRelaxed fitSlouchy cut,17.4,ASOS DESIGN casual cotton poplin wrap front mini smock dress in black
ASOS DESIGN,sage green,Dress by ASOS DESIGN    Dress for the weather you wantSquare neckFixed straps    Frill overlayRegular fitTrue to size,17.6,ASOS DESIGN square neck sundress with overlayer frill in sage green
ASOS DESIGN,black,Mini dress by ASOS DESIGN    Dress for the weather you wantPlain designHalterneck styleAdjustable straps    Swing cut    Regular fitTrue to size,22.4,ASOS DESIGN halter neck swing mini sundress in black
ASOS DESIGN,black / nude dot,Midi dress by ASOS DESIGN     Crack the dress codeTiered designAll-over spot patternRound neckLong sleevesButton-keyhole backSmock styleRegular fitTrue to size,18,ASOS DESIGN long sleeve tiered smock midi dress in black/nude dots
ASOS DESIGN,white,Mini dress by ASOS DESIGN    Summer on-lockSquare neckTie strapsRuffle hem Regular fitTrue to size,22.4,ASOS DESIGN broderie tie strap pep hem mini dress in white
Missguided,sage,Dress by Missguided    Make some leg roomCrew neckPuff sleevesSmock styleRegular fitTrue to sizes,21,Missguided tiered smock dress with puff sleeves in sage
Just Me,sunflower,Dress by Just Me    Love at first scrollAll-over sunflower embroideryCrew neck Frill shouldersElasticated waist Tie-keyhole back Regular fit True to size ,135,Just Me bow back midi dress in sunflower floral print
Just Me,offwhite,Dress by Just Me    Dress for the weather you wantHigh frill neckPuff sleevesTie cuffsTiered skirtTie-back fasteningsSmock styleRegular fitTrue to size,87,Just Me eyelet smock mini dress in off white
Parisian,white,Dress by Parisian    This dress on repeatV-neckAdjustable cami strapsLace-up frontTie detailLace trimZip-back fasteningRegular fitTrue to size,35,Parisian cami strap lace insert swing dress in white
Parisian,blue/white,Dress by Parisian    Cute dressGingham designSquare neckPuff sleevesTie backZip-back fasteningRuffle hemSlim fitClose-fitting cut ,22.4,Parisian square neck gingham mini dress in blue
Puma,black,Dress by PUMA    A fresh addition Crew neckDropped shouldersPUMA logo to chestRelaxed fitA little bit slouchy,28,Puma t-shirt dress in black
ASOS DESIGN,sage green,Maxi dress by ASOS DESIGN    Part of our responsible editTiered designSquare neckSleeveless stylesRuffle trimsButton backRegular fitTrue to size,40,ASOS DESIGN tiered ruffle maxi dress in bubble texture in sage green
ASOS DESIGN,black,Mini dress by ASOS DESIGN    Act casualRound neckPuff sleevesElasticated cuffsButton-keyhole backSmock styleRegular fitTrue to size,23.2,ASOS DESIGN short sleeve smock mini dress in black
Collusion,black,Dress by COLLUSION    Act casualCrew neckDrop shouldersGraphic chest printRelaxed fitSlouchy cut Exclusive to ASOS,19.2,COLLUSION graphic print short sleeve t-shirt dress in black
In The Style,black,Mini dress by In The Style    Collaboration with Jacqueline JossaV-neckButton fasteningMid-length sleevesTrapeze styleRelaxed fitLoose cut,33.6,In The Style x Jac Jossa v neck trapeze mini dress in black
ASOS DESIGN,black,Dress by ASOS DESIGN    Crack the dress codeRound neckHalf sleevesFrill cuffsSuper-oversized fitVery relaxed and roomy,19.5,ASOS DESIGN super oversized frill sleeve smock in black
ASOS DESIGN,red,Mini dress by ASOS DESIGN    Crack the dress codePleated design Square neck Volume sleevesElasticated cuffsZip-side fastening Regular fitTrue to size,22.5,ASOS DESIGN square neck pleated mini skater dress in red
ASOS DESIGN,black,Mini dress by ASOS DESIGN    Cute dressAll-over floral embroideryCrew neckBell sleevesLace and cut-work trimsFlared skirtRegular fitTrue to size,46.5,ASOS DESIGN all over embroidered mini skater dress with lace trim in black
AX Paris,brushstroke,Dress by AX Paris    Crack the dress codeAll-over printCrew neckShort sleevesRuffle hemRegular fitTrue to size,45,AX Paris drop hem smock dress in brushstroke
Influence,sage/black,Dress by Influence    Trés cutePolka-dot printRound neckPuff sleevesTiered skirtTie-keyhole backRegular fitTrue to size,40,Influence cotton poplin polka dot midi dress in mint
Night Addict,fuschia,Dress by Night AddictAct casualCrew neckDrop shoulders'Baddie' text print on frontLogo detail to backRelaxed fitLoose cut,14.5,Night Addict baddie fuschia t-shirt dress
Influence,black/red,Dress by InfluenceCute dressAll-over heart printRound neckShort sleevesTie waistButton-keyhole backRuffle trimsRegular fitTrue to size,32,Influence tie-waist flippy hem mini dress in heart print
ASOS Tall,lilac,Tall dress by ASOS DESIGN    Dress casual? No thanksBeaded embellishmentRound neckLong sleevePleated skirtButton-keyhole backBack zip closureRegular fitTrue to size,101.25,ASOS DESIGN Tall embellished bodice maxi dress with tulle skirt
ASOS DESIGN,black,Midi dress by ASOS DESIGN     Serious add-to-bag potential     Round neck    Long sleeves    Tiered skirt Smock styleButton-keyhole backRegular fitTrue to size,28.8,ASOS DESIGN long sleeve tiered smock midi dress in black
ASOS Curve,white,Plus-size dress by ASOS DESIGNDress for the weather you want V-neckPuff sleevesElasticated cuffsRuffle trimSmock styleRegular fitTrue to size,28.8,ASOS DESIGN Curve eyelet V-neck smock dress with puff sleeves in white
New Look,blue pattern,Dress by New Look    Cute dressCheck designV-neckShort puff sleevesTie backRegular fitTrue to size,37.6,New Look puff sleeve midi tea dress in blue gingham
ASOS DESIGN,mocha,Midi dress by ASOS DESIGN     Your new favorite dress    V-neckRibbed cups     Double straps     Slim fitClose-fitting cut,11.7,ASOS DESIGN rib double cup strappy cami midi dress in mocha
ASOS DESIGN,black,Maxi dress by ASOS DESIGN    Add-to-bag material Scoop neck Fixed straps Gathered elasticized backRelaxed fit Loose cut ,28,ASOS DESIGN scoop maxi dress with ruched back in black
ASOS DESIGN,white,Mini dress by ASOS DESIGN    In case of warm weather Gathered neck Fixed straps Regular fit True to size ,20.8,ASOS DESIGN gathered neck strappy mini sundress in white
Luxe Palm,watercolor,Dress by Luxe Palm    Dreaming of the beachWatercolour print Crew neckLong sleevesTie hemBody-Conscious fitFigure-hugging cut,28.5,Luxe Palm mesh beach dress in watercolor print
